bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
338282,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,1776,2.5,43.54,15.87,52.28,2179,2018,1,7,7,0,40.084,13.004999999999999,0.048,0.048,0,11.748000000000001,0,0,0,0,40.074,4.725,0,0,0,3.518,0,0,0,2018-01-07 07:00:00
339954,1698,0.8,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",0.8,Yes,37.25,3,47.25,14.26,54.23,1358.4,2018,1,7,7,0,35.013,10.491,0.048,0.048,0,10.262,0,0,0,0,35.011,3.3649999999999998,0,0,0,3.1839999999999997,0,0,0,2018-01-07 07:00:00
340084,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3,0,83.96,48.36,82.07,2678,2018,1,7,7,0,86.026,25.704,0.048,0.048,0,25.18,0,0,0,0,78.334,6.972,0,0,0,6.496,0,0,0,2018-01-07 07:00:00
357787,1698,1.7,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",0.6,Yes,322.25,4.25,22.72,7.88,31.09,1018.8,2018,1,7,7,0,19.558,6.284,0.048,0.048,0,5.73,0,0,0,0,19.542,2.2779999999999996,0,0,0,1.774,0,0,0,2018-01-07 07:00:00
358747,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,76.75,3.25,44.12,26.19,51.7,1698,2018,1,7,7,0,45.045,14.078,0.048,0.048,0,13.192,0,0,0,0,44.938,4.57,0,0,0,3.724,0,0,0,2018-01-07 07:00:00
361023,1698,2,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,768,3.25,53.95,21.94,57.22,1698,2018,1,7,7,0,55.105,16.856,0.048,0.048,0,16.192,0,0,0,0,53.69,5.22,0,0,0,4.606999999999999,0,0,0,2018-01-07 07:00:00
367341,2678,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",0.6,Yes,85.25,42.75,115.28,33.79,85.95,1606.8,2018,1,7,7,0,92.17099999999999,27.942999999999998,0.048,0.048,0,27.016,0,0,0,0,80.908,6.969,0,0,0,6.090999999999999,0,0,0,2018-01-07 07:00:00
368769,2678,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",0.6,Yes,0,51.25,57.92,37.86,58.06,1606.8,2018,1,7,7,0,58.734,18.06,0.048,0.048,0,17.156000000000002,0,0,0,0,56.354,5.066,0,0,0,4.214,0,0,0,2018-01-07 07:00:00
370993,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,32.5,1.25,65.23,42.91,64.72,1698,2018,1,7,7,0,55.615,17.243000000000002,0.048,0.048,0,16.3,0,0,0,0,53.761,4.898,0,0,0,4.397,0,0,0,2018-01-07 07:00:00
374740,2179,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,0,16.5,60.55,48.14,62.45,2179,2018,1,7,7,0,61.575,18.336,0.048,0.048,0,17.972,0,0,0,0,61.662000000000006,4.893,0,0,0,4.577,0,0,0,2018-01-07 07:00:00
377683,2179,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,0,0,59.91,35,61.99,2179,2018,1,7,7,0,48.396,14.421,0.048,0.048,0,14.183,0,0,0,0,47.566,4.408,0,0,0,4.219,0,0,0,2018-01-07 07:00:00
380806,1698,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3.25,0,92.42,47.38,91.38,1698,2018,1,7,7,0,73.304,23.132,0.048,0.048,0,21.485,0,0,0,0,71.353,7.48,0,0,0,5.833,0,0,0,2018-01-07 07:00:00
386946,2179,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,26.5,3.5,45.31,25.91,49.21,2179,2018,1,7,7,0,36.614000000000004,11.088000000000001,0.048,0.048,0,10.729,0,0,0,0,36.613,3.117,0,0,0,2.81,0,0,0,2018-01-07 07:00:00
391629,1698,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,72,0,58.93,24.9,57.54,1698,2018,1,7,7,0,47.525,15.086,0.048,0.048,0,13.927,0,0,0,0,46.321,5.2620000000000005,0,0,0,4.1530000000000005,0,0,0,2018-01-07 07:00:00
401707,2179,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,51.75,0,73.91,41.22,73.39,2179,2018,1,7,7,0,67.822,20.741,0.048,0.048,0,19.876,0,0,0,0,67.081,6.388,0,0,0,5.57,0,0,0,2018-01-07 07:00:00
407376,2678,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,0,0,88.65,56.42,86.27,2678,2018,1,7,7,0,67.481,20.892,0.048,0.048,0,19.775,0,0,0,0,65.375,6.25,0,0,0,5.184,0,0,0,2018-01-07 07:00:00
414245,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 8",0.6,Yes,1.25,19,38.09,13.67,49.08,1018.8,2018,1,7,7,0,19.122,7.852,0.048,0.048,0,5.603,0,0,0,0,19.123,3.6510000000000002,0,0,0,1.452,0,0,0,2018-01-07 07:00:00
419320,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,36.25,0.75,60.28,47.69,60.8,1698,2018,1,7,7,0,59.585,18.179000000000002,0.048,0.048,0,17.467000000000002,0,0,0,0,59.619,5.1739999999999995,0,0,0,4.511,0,0,0,2018-01-07 07:00:00
420693,2179,1.7,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,96,1.75,45.1,33.08,50.79,2179,2018,1,7,7,0,31.177,9.705,0.048,0.048,0,9.144,0,0,0,0,29.578,2.8489999999999998,0,0,0,2.338,0,0,0,2018-01-07 07:00:00
424183,2179,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,0,7.5,43.62,23.44,51.73,2179,2018,1,7,7,0,44.61,13.972999999999999,0.048,0.048,0,13.092,0,0,0,0,50.046,5.421,0,0,0,4.587,0,0,0,2018-01-07 07:00:00
427573,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,0,34.5,96.38,62.02,93.87,2179,2018,1,7,7,0,98.08,29.096,0.048,0.048,0,28.832,0,0,0,0,91.2,7.149,0,0,0,6.933,0,0,0,2018-01-07 07:00:00
435521,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,6.75,1,46.28,22.03,53.64,2179,2018,1,7,7,0,42.61,13.158999999999999,0.048,0.048,0,12.488,0,0,0,0,42.611,4.271,0,0,0,3.6500000000000004,0,0,0,2018-01-07 07:00:00
451150,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,69.25,0,72.66,28.4,72.66,2179,2018,1,7,7,0,72.215,21.740000000000002,0.048,0.048,0,21.163,0,0,0,0,67.57300000000001,6.470000000000001,0,0,0,5.946,0,0,0,2018-01-07 07:00:00
465439,1698,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",0.6,Yes,30,1.5,58.99,22.38,60.27,1018.8,2018,1,7,7,0,46.150000000000006,14.108,0.048,0.048,0,13.527000000000001,0,0,0,0,44.629000000000005,4.195,0,0,0,3.663,0,0,0,2018-01-07 07:00:00
