bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
336307,2179,1.1,1960s,Natural Gas,"Fuel Wall/Floor Furnace, 68% AFUE","AC, SEER 10",0.8,Yes,96.5,2.75,71.72,47.74,100.45,1743.2,2018,7,2,16,31.927,0,7.1579999999999995,5.631,4.839,0.792,0,0,0,0,42.699,0,6.407,4.880000000000001,3.531,1.3490000000000002,0,0,0,0,2018-07-02 16:00:00
339017,5587,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",0.8,Yes,245.5,0.5,110.67,57,82.03,4469.6,2018,7,2,16,46.441,0,7.827999999999999,6.78,5.984,0.796,0,0,0,0,56.628,0,6.368,5.317,3.8329999999999997,1.484,0,0,0,0,2018-07-02 16:00:00
343178,2678,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0,5.75,86.84,67.1,88,2678,2018,7,2,16,38.127,0,5.755,4.742999999999999,4.154999999999999,0.588,0,0,0,0,37.74,0,4.485,3.472,2.511,0.961,0,0,0,0,2018-07-02 16:00:00
343774,1228,1.1,1970s,Fuel Oil,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,8.75,0,70.45,34.93,71.68,1228,2018,7,2,16,23.99,0,5.009,2.6569999999999996,2.3009999999999997,0.356,0,0,0,0,23.406,0,4.61,2.255,1.654,0.601,0,0,0,0,2018-07-02 16:00:00
347477,2179,1.4,1950s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",1,Yes,1.75,80.5,98.04,75.18,99.25,2179,2018,7,2,16,40.9,0,5.417,4.389,3.7889999999999997,0.6,0,0,0,0,40.329,0,5.087,4.061,2.968,1.093,0,0,0,0,2018-07-02 16:00:00
351876,1228,0.8,1950s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",0.8,Yes,374.25,27.5,64.54,18.15,62.79,982.4000000000001,2018,7,2,16,12.125,0,1.5550000000000002,1.226,1.17,0.056,0,0,0,0,13.07,0,1.542,1.2149999999999999,0.878,0.337,0,0,0,0,2018-07-02 16:00:00
353138,2179,1.4,1940s,Fuel Oil,"Fuel Wall/Floor Furnace, 60% AFUE","AC, SEER 15",1,Yes,198,7.5,61.87,58.14,91.97,2179,2018,7,2,16,46.25,0,8.218,4.7540000000000004,3.896,0.858,0,0,0,0,43.888999999999996,0,7.542999999999999,4.077,2.971,1.1059999999999999,0,0,0,0,2018-07-02 16:00:00
354651,3310,1.7,2010s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,0,19,73.18,40.02,74.16,3310,2018,7,2,16,20.543,0,4.33,2.9000000000000004,2.6580000000000004,0.242,0,0,0,0,19.875999999999998,0,3.299,1.8689999999999998,1.4249999999999998,0.444,0,0,0,0,2018-07-02 16:00:00
358747,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,76.75,3.25,44.12,26.19,51.7,1698,2018,7,2,16,20.572,0,2.688,2.315,1.991,0.324,0,0,0,0,21.214,0,2.393,2.0220000000000002,1.6,0.422,0,0,0,0,2018-07-02 16:00:00
359834,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 76% AFUE","AC, SEER 13",1,Yes,0,0,59.95,35.36,59.93,2678,2018,7,2,16,16.284,0,2.457,1.883,1.4769999999999999,0.406,0,0,0,0,14.23,0,1.71,1.1340000000000001,0.803,0.331,0,0,0,0,2018-07-02 16:00:00
360017,5587,1.1,1990s,Natural Gas,"Fuel Furnace, 76% AFUE","AC, SEER 13",1,Yes,0,84,91.23,60.92,90.18,5587,2018,7,2,16,40.08,0,5.962000000000001,5.054,4.004,1.05,0,0,0,0,39.569,0,4.5649999999999995,3.657,2.6260000000000003,1.0310000000000001,0,0,0,0,2018-07-02 16:00:00
